lwmainid,DR_Num,Arizona_Statute_Code,Charge_Description,Attempted_Or_Completed,Report_Date,Date_Occurred,Time_Occurred,Date_Found,Time_Found,District,Beat,Zone,Officer,Location,City,State,Case_Status_Code,Case_Status_Description
655117,22-02730  ,19-19A,Urinate/Defecate In Public,Completed,02/05/2022,02/05/2022,0141,02/05/2022,0141,D2,06,904,"Vattuone, D.  (1493)",E Indian Pz,Scottsdale,AZ,CBA,Cleared By Arrest
655118,22-02731  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/05/2022,02/05/2022,0259,02/05/2022,0259,D1,02,609,"Faulkner, C.  (1572)",N Hayden Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655119,22-02732  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,02/05/2022,02/05/2022,0354,02/05/2022,0354,D3,09,2403,"Cariveau, M.  (1603)",N 77th St,Scottsdale,AZ,LFF,Long Form Filed
655121,22-02734  ,MED,Medical,Completed,02/05/2022,02/05/2022,0234,02/05/2022,0234,D4,18,3408,"Reedy, C.  (1528)",N Thompson Peak Py,Scottsdale,AZ,INAC,Inactive
655122,22-02735  ,28-663A1,Accidents - Fail to Give Info-Name Add Etc.,Completed,02/05/2022,02/05/2022,0811,02/05/2022,0811,D2,08,2101,"Stanley, D.  (1234)",E Chaparral Rd,Scottsdale,AZ,INAC,Inactive
655123,22-02736  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/05/2022,02/05/2022,0929,02/05/2022,0929,D4,15,3601,"Marks, D.  (1617)",E Frank Lloyd Wright Bl / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655124,22-02737  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,02/05/2022,02/05/2022,0956,02/05/2022,0956,D3,11,2902,"Dyer, A.  (1214)",N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655125,22-02738  ,28-693A,Reckless Driving,Completed,02/05/2022,02/05/2022,0957,02/05/2022,0957,D2,08,2101,"Phillips, D.  (1521)",E Chaparral Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655126,22-02739  ,ATTEMPTED SUICIDE,Attempted Suicide,Completed,02/05/2022,02/05/2022,0853,02/05/2022,0853,D4,15,3301,"Marks, D.  (1617)",E Sweetwater Av,Scottsdale,AZ,INAC,Inactive
655127,22-02741  ,DEATH,Death Investigation,Completed,02/05/2022,02/05/2022,1037,02/05/2022,1037,D4,20,4701,"Marks, D.  (1617)",E Hidden Valley Rd,Scottsdale,AZ,INAC,Inactive
655128,22-02742  ,13-1814A1,Theft of Means of Transportation (Non-Vehicle),Completed,02/05/2022,02/04/2022,1400,02/05/2022,0700,D2,05,812,"Phillips, D.  (1521)",E Osborn Rd,Scottsdale,AZ,INAC,Inactive
655129,22-02743  ,13-1506A1,Burglary - Motor Vehicle,Attempted,02/05/2022,02/04/2022,2000,02/05/2022,1042,D4,20,4402,"Rose, C.  (1122)",N 74th Wy,Scottsdale,AZ,INAC,Inactive
655131,22-02746  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/05/2022,02/05/2022,0900,02/05/2022,0935,D3,11,2804,"Williams, C.  (1307)",E Mountain View Rd,Scottsdale,AZ,INAC,Inactive
655132,22-02747  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/05/2022,02/05/2022,1147,02/05/2022,1147,D3,11,2804,"Williams, C.  (1307)",E Mountain View Rd,Scottsdale,AZ,INAC,Inactive
655133,22-02748  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/05/2022,02/05/2022,1308,02/05/2022,1308,D3,11,2804,"Williams, C.  (1307)",E Mountain View Rd,Scottsdale,AZ,INAC,Inactive
655134,22-02749  ,13-1504A1,Criminal Trespass 1st Deg-Residence,Completed,02/05/2022,02/05/2022,1131,02/05/2022,1131,D3,14,3118,"Good, A.  (1360)",E Windrose DR,Scottsdale,AZ,CBE,Cleared By Exception
655135,22-02750  ,LOST PROPERTY,Lost Property,Completed,02/05/2022,02/05/2022,1200,02/05/2022,1200,D4,16,3605,"Sodeman, L.  (B1150)",N Northsight Bl,Scottsdale,AZ,INAC,Inactive
655136,22-02751  ,13-2916A,Intimidate/Threaten/Harass With Phone,Completed,02/05/2022,02/05/2022,1410,02/05/2022,1410,D4,15,3604,"Sodeman, L.  (B1150)",E Frank Lloyd Wright Bl,Scottsdale,AZ,INAC,Inactive
655137,22-02752  ,28-701.02A2,Exceed Limit By More Than 20mph,Completed,02/05/2022,02/05/2022,1423,02/05/2022,1423,D4,19,3801,"Large, M.  (1466)",N Hayden Rd / E Legacy Bl,Scottsdale,AZ,CBA,Cleared By Arrest
655138,22-02753  ,RUNAWAY,Missing Person / Runaway,Completed,02/05/2022,02/05/2022,1200,02/05/2022,1200,D1,03,707,"Inouye, R.  (1192)",E Earll DR,Scottsdale,AZ,CBA,Cleared By Arrest
655139,22-02754  ,13-1506A1,Burglary 3rd Degree -- Fenced Yard,Completed,02/05/2022,02/05/2022,1144,02/05/2022,1144,D1,03,607,"Parker, A.  (650)",N Fiesta St,Scottsdale,AZ,INAC,Inactive
655141,22-02757  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,02/05/2022,02/05/2022,1445,02/05/2022,1445,D3,13,3007,"Dyer, A.  (1214)",N 89th Pl,Scottsdale,AZ,CBA,Cleared By Arrest
655143,22-02756  ,28-662A1,Accidents - Fail to Stop-Damage Attended Vehicle,Completed,02/05/2022,02/05/2022,1431,02/05/2022,1431,D4,17,3404,"Ostrem, J.  (B1733)",E Raintree DR / N Thompson Peak Py,Scottsdale,AZ,INAC,Inactive
655145,22-02761  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,02/05/2022,02/05/2022,1610,02/05/2022,1610,D2,06,904,"Cabrera, D.  (1543)",E Camelback Rd / N Saddlebag Tr,Scottsdale,AZ,LFF,Long Form Filed
655146,22-02763  ,13-1204A2,Agg Assault-Deadly Weapon/Dangerous Instrument,Completed,02/05/2022,02/05/2022,1555,02/05/2022,1625,D1,02,610,"Currington, J.  (1542)",N 82nd St / E Thomas Rd,Scottsdale,AZ,INAC,Inactive
655147,22-02764  ,13-2102A1,Theft of Credit Card -- Other,Completed,02/05/2022,02/05/2022,1000,02/05/2022,1000,D4,17,3306,"Sodeman, L.  (B1150)",N 95th Wy,Scottsdale,AZ,INAC,Inactive
655148,22-02765  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/05/2022,02/05/2022,1330,02/05/2022,1530,D4,18,3408,"Kiter, S.  (B1410)",E Bell Rd,Scottsdale,AZ,INAC,Inactive
655149,22-02766  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/05/2022,02/05/2022,0930,02/05/2022,1716,D2,07,903,"Ly, S.  (1575)",E Indian School Rd,Scottsdale,AZ,INAC,Inactive
655150,22-02768  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/05/2022,02/04/2022,2030,02/05/2022,1510,D1,04,703,"Cross, B.  (B554)",N 67th Pl,Scottsdale,AZ,INAC,Inactive
655151,22-02769  ,13-1802A1,Theft -- Other Larceny,Completed,02/05/2022,02/05/2022,0230,02/05/2022,1609,D2,06,1103,"Mason, F.  (B1531)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655152,22-02770  ,13-1203A3,Assault-Touched to Injure,Completed,02/05/2022,02/05/2022,1820,02/05/2022,1825,D2,06,906,"Donovan, D.  (1587)",N Parkway Av,Scottsdale,AZ,LFF,Long Form Filed
655153,22-02772  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/05/2022,01/22/2022,0000,02/05/2022,0900,D1,01,302,"Davidson, J.  (B1746)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655154,22-02773  ,13-1504A1,Criminal Trespass 1st Deg-Residence,Completed,02/05/2022,02/05/2022,1627,02/05/2022,1827,D2,08,2303,"Llanez, J.  (1544)",N 77th Pl,Scottsdale,AZ,LFP,Long Form Pending
655155,22-02774  ,13-1805A1,Shoplifting-Removal of Goods,Completed,02/05/2022,02/05/2022,1926,02/05/2022,1926,D2,07,1002,"Savage, K.  (1145)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
655157,22-02775  ,13-1805A1,Shoplifting-Removal of Goods,Completed,02/05/2022,02/05/2022,1907,02/05/2022,1907,D2,07,902,"Ly, S.  (1575)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655160,22-02778  ,13-1203A3,Assault-Touched to Injure,Completed,02/05/2022,02/05/2022,1939,02/05/2022,1939,D2,07,903,"Leyba, B.  (1536)",E Stetson DR,Scottsdale,AZ,LFF,Long Form Filed
655161,22-02780  ,IMPOUND,Impound Property,Completed,02/05/2022,02/05/2022,1846,02/05/2022,1846,D1,03,706,"Pham, J.  (1548)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655164,22-02783  ,13-1203A1,Assault-Intentional/Recklessly Injure,Completed,02/05/2022,02/05/2022,2027,02/05/2022,2027,D1,04,703,"Smith, M.  (1596)",N 66th St,Scottsdale,AZ,INAC,Inactive
655165,22-02784  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,02/05/2022,02/05/2022,2033,02/05/2022,2033,D4,20,4502,"Clore, M.  (1472)",E Legend Trail Py / N Pima Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655166,22-02785  ,13-1814A1,Theft of Means of Transportation,Completed,02/05/2022,02/04/2022,0800,02/05/2022,1830,D1,01,302,"Fortunato, C.  (1539)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655167,22-02786  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/05/2022,02/05/2022,2059,02/05/2022,2119,D2,07,902,"Ly, S.  (1575)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655168,22-02787  ,13-1203A3,Assault-Touched to Injure,Completed,02/05/2022,02/05/2022,2025,02/05/2022,2025,D4,18,3408,"Russo, K.  (1504)",E Bell Rd,Scottsdale,AZ,INAC,Inactive
655169,22-02788  ,28-1383A1,Aggravated DUI-License Suspended/Revoked For Dui,Completed,02/05/2022,02/05/2022,2101,02/05/2022,2101,D1,02,711,"Rumann, J.  (1600)",N 83rd Pl,Scottsdale,AZ,LFF,Long Form Filed
655170,22-02789  ,13-1814A5,Theft of Means of Transportation-Known Stolen,Completed,02/05/2022,02/05/2022,2010,02/05/2022,2010,D2,05,1109,"Scott, H.  (1580)",E Chaparral Rd,Scottsdale,AZ,LFF,Long Form Filed
655172,22-02791  ,28-3473A,Suspended/Revoked D.L.,Completed,02/05/2022,02/05/2022,2155,02/05/2022,2155,D2,06,905,"Farner, K.  (1584)",N 75th St / E Indian School Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655173,22-02792  ,13-1203A1,Assault-Intentional/Recklessly Injure-Dv,Completed,02/05/2022,02/05/2022,2135,02/05/2022,2135,D1,01,304,"Biland, M.  (1547)",N Miller Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655175,22-02794  ,IMPOUND,Impound Property,Completed,02/05/2022,02/05/2022,2300,02/05/2022,2300,D2,06,904,"Gomez, A.  (1586)",E Indian Pz,Scottsdale,AZ,INAC,Inactive
655176,22-02795  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/05/2022,02/05/2022,2247,02/05/2022,2247,D2,06,904,"Rivera, C.  (1593)",N 75th St,Scottsdale,AZ,CBA,Cleared By Arrest
655177,22-02793  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,02/05/2022,02/05/2022,2233,02/05/2022,2233,D2,06,906,"Romero, A.  (1599)",N 78th St,Scottsdale,AZ,CBA,Cleared By Arrest
655178,22-02796  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,02/05/2022,02/05/2022,2257,02/05/2022,2257,D4,19,3801,"Hidalgo, R.  (1602)",N Hayden Rd / E Thompson Peak Py,Scottsdale,AZ,CBA,Cleared By Arrest
655179,22-02797  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/05/2022,02/05/2022,2211,02/05/2022,2211,D3,11,2904,"English, K.  (1140)",E Turquoise Av,Scottsdale,AZ,CBA,Cleared By Arrest
655180,22-02798  ,28-701.02A2,Exceed Limit By More Than 20mph,Completed,02/05/2022,02/05/2022,2331,02/05/2022,2331,D3,09,2301,"Clore, M.  (1472)",E Lincoln DR / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655181,22-02799  ,ABDVEH,Abandoned Vehicle,Completed,02/05/2022,02/05/2022,2319,02/05/2022,2319,D3,14,2914,"Kang, J.  (1567)",N 120th St / E Shea Bl,Scottsdale,AZ,INAC,Inactive
655182,22-02800  ,DEATH,Death Investigation,Completed,02/05/2022,02/05/2022,2324,02/05/2022,2324,D3,10,2604,"Neese, T.  (1581)",N Via Verde,Scottsdale,AZ,INAC,Inactive
655183,22-02801  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,02/05/2022,02/05/2022,2307,02/05/2022,2307,D2,06,9901,"Reedy, C.  (1528)",N 75th St,Scottsdale,AZ,LFP,Long Form Pending
655184,22-02802  ,WARRANT,Warrant - Misd - Other Jurisdiction,Completed,02/05/2022,02/05/2022,2329,02/05/2022,2329,D1,01,306,"Pham, J.  (1548)",N Granite Reef Rd / E McDowell Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655185,22-02803  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,02/05/2022,02/05/2022,2342,02/05/2022,2342,D1,04,402,"Faulkner, C.  (1572)",E McDowell Rd,Scottsdale,AZ,PLR,Pending Lab Results
655188,22-02805  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,02/06/2022,02/06/2022,0105,02/06/2022,0105,,99,99,"Clore, M.  (1472)",E Indian School Rd / L101,Salt River,AZ,CBA,Cleared By Arrest
655189,22-02806  ,13-1105A1,Murder 1st Degree-Premeditated,Completed,02/06/2022,02/06/2022,0110,02/06/2022,0110,D2,06,906,"McElley, N.  (1508)",E Camelback Rd,Scottsdale,AZ,LFF,Long Form Filed
655190,22-02807  ,13-1203A1,Assault-Intentional/Recklessly Injure,Completed,02/06/2022,02/06/2022,0135,02/06/2022,0135,D2,06,904,"Vattuone, D.  (1493)",N Saddlebag Tr,Scottsdale,AZ,CBA,Cleared By Arrest
655191,22-02809  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/06/2022,02/06/2022,0146,02/06/2022,0146,D2,06,904,"Berumen, J.  (1395)",N 75th St,Scottsdale,AZ,CBA,Cleared By Arrest
655192,22-02808  ,19-36A,Criminal Littering-Litter Free Enforce Zone,Completed,02/06/2022,02/06/2022,0103,02/06/2022,0103,D2,06,904,"Mason, F.  (B1531)",E Camelback Rd,Scottsdale,AZ,LFF,Long Form Filed
655193,22-02810  ,13-2904A1,Disorderly Conduct-Fighting,Completed,02/06/2022,02/06/2022,0139,02/06/2022,0139,D2,06,904,"Boatright, C.  (1574)",N 75th St,Scottsdale,AZ,CBA,Cleared By Arrest
655194,22-02811  ,13-1204A3,Agg Assault-Disfigurement,Completed,02/06/2022,02/06/2022,0138,02/06/2022,0138,D2,06,904,"Deshotel, S.  (1484)",E Indian Pz,Scottsdale,AZ,LFF,Long Form Filed
655195,22-02812  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,2345,02/06/2022,0230,D2,06,904,"Cariveau, M.  (1603)",E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655196,22-02813  ,DEATH,Death Investigation,Completed,02/06/2022,02/06/2022,0235,02/06/2022,0235,D1,02,504,"Diaz, M.  (1541)",N 81st Pl,Scottsdale,AZ,INAC,Inactive
655197,22-02814  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/06/2022,0426,02/06/2022,0426,D2,06,904,"Hranek, N.  (1562)",N Scottsdale Rd / E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655198,22-02815  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/05/2022,2300,02/06/2022,0212,D2,06,904,"Hranek, N.  (1562)",N Scottsdale Rd / E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655200,22-02817  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,2100,02/06/2022,0200,D2,06,904,"Cariveau, M.  (1603)",E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655201,22-02818  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,1700,02/06/2022,0200,D2,06,904,"Cariveau, M.  (1603)",E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655203,22-02819  ,OFFICER INVOLVED,Officer Involved Shooting-Negligent Discharge of Firearm,Completed,02/06/2022,02/06/2022,0733,02/06/2022,0733,D3,13,2910,"Stumpf, J.  (730)",E Via Linda,Scottsdale,AZ,INAC,Inactive
655204,22-02820  ,13-1803A1,Unlawful Means Transportation-Control,Completed,02/06/2022,02/06/2022,0914,02/06/2022,0914,D4,19,3903,"Pedersen, J.  (1459)",N Pima Rd / E Pinnacle Peak Rd,Scottsdale,AZ,LFF,Long Form Filed
655205,22-02821  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/06/2022,0930,02/06/2022,0930,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,ACTI,Further Investigation
655206,22-02822  ,13-1506A1,Burglary 3rd Degree -- From Locker,Completed,02/06/2022,02/06/2022,0401,02/06/2022,0800,D3,10,2501,"Lesser, D.  (1383)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655207,22-02823  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/05/2022,02/05/2022,0000,02/05/2022,2000,D1,01,302,"Dittman, D.  (1146)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655208,22-02824  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/06/2022,0030,02/06/2022,0900,D4,17,3405,"Krasznai, A.  (1618)",N 94th St,Scottsdale,AZ,INAC,Inactive
655210,22-02826  ,IMPOUND,Impound Property,Completed,02/06/2022,02/06/2022,0921,02/06/2022,0921,D3,13,9902,"Fernandez, A.  (1299)",E Via Linda,Scottsdale,AZ,INAC,Inactive
655211,22-02827  ,13-1203A1,Assault-Intentional/Recklessly Injure-Dv,Completed,02/06/2022,02/06/2022,1048,02/06/2022,1048,D2,06,1105,"Phillips, D.  (1521)",E Chaparral Rd,Scottsdale,AZ,INAC,Inactive
655212,22-02828  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,2030,02/06/2022,1029,D4,19,3801,"Lackowski, A.  (1537)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655213,22-02829  ,13-1805A1,Shoplifting-Removal of Goods,Completed,02/06/2022,02/05/2022,1551,02/05/2022,1614,D4,17,3404,"Sodeman, L.  (B1150)",N Frank Lloyd Wright Bl,Scottsdale,AZ,INAC,Inactive
655214,22-02830  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/06/2022,0200,02/06/2022,1100,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,ACTI,Further Investigation
655215,22-02831  ,13-1203A1,Assault-Intentional/Recklessly Injure-Dv,Completed,02/06/2022,02/06/2022,1230,02/06/2022,1230,D2,06,1103,"Giusti, P.  (1611)",N Woodmere Fairway,Scottsdale,AZ,LFF,Long Form Filed
655216,22-02832  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,1930,02/06/2022,0730,D2,05,907,"Davidson, J.  (B1746)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
655218,22-02835  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,02/06/2022,02/06/2022,1319,02/06/2022,1319,D1,03,607,"Cabrera, D.  (1543)",N Scottsdale Rd / E Thomas Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655219,22-02836  ,IMPOUND,Impound Property,Completed,02/06/2022,02/06/2022,1310,02/06/2022,1340,D1,02,408,"Egan, L.  (B1736)",E McDowell Rd,Scottsdale,AZ,INAC,Inactive
655220,22-02837  ,28-3473A,Suspended/Revoked D.L.,Completed,02/06/2022,02/06/2022,1418,02/06/2022,1418,D3,11,2905,"Dyer, A.  (1214)",N Hayden Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655221,22-02840  ,MED,Medical,Attempted,02/06/2022,02/06/2022,1246,02/06/2022,1246,D4,19,3701,"Krasznai, A.  (1618)",E Princess DR,Scottsdale,AZ,INAC,Inactive
655222,22-02841  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,0730,02/06/2022,1039,D2,07,801,"Browning, D.  (1594)",E Indian School Rd,Scottsdale,AZ,INAC,Inactive
655223,22-02842  ,28-3473A,Suspended/Revoked D.L.,Completed,02/06/2022,02/06/2022,1457,02/06/2022,1457,D4,18,3802,"Large, M.  (1466)",E Frank Lloyd Wright Bl / L101 Frontage Rd Sb,Scottsdale,AZ,CBA,Cleared By Arrest
655224,22-02843  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,02/06/2022,02/06/2022,1358,02/06/2022,1358,D3,11,2902,"Fogg, W.  (1561)",N 70th St,Scottsdale,AZ,LFF,Long Form Filed
655225,22-02844  ,13-1814A1,Theft of Means of Transportation,Completed,02/06/2022,02/04/2022,2100,02/05/2022,1000,D4,16,3605,"Lackowski, A.  (1537)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
655226,22-02845  ,13-1506A1,Burglary - Motor Vehicle,Completed,02/06/2022,02/05/2022,2200,02/06/2022,0230,D2,06,904,"Egan, L.  (B1736)",E Shoeman Ln,Scottsdale,AZ,INAC,Inactive
655227,22-02847  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,01/30/2022,1200,02/06/2022,1200,D1,04,604,"Valenzuela, C.  (1248)",E Thomas Rd,Scottsdale,AZ,INAC,Inactive
655228,22-02848  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/05/2022,1300,02/06/2022,1300,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,ACTI,Further Investigation
655229,22-02849  ,13-1805A5,Shoplifting-Concealment,Completed,02/06/2022,02/06/2022,1541,02/06/2022,1541,D2,07,1002,"Wright, P.  (1325)",E Camelback Rd,Scottsdale,AZ,LFF,Long Form Filed
655230,22-02851  ,13-2002A1,Forgery-Written Instrument,Completed,02/06/2022,06/07/2021,1546,02/06/2022,1546,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
655231,22-02852  ,28-701.02A2,Exceed Limit By More Than 20mph,Completed,02/06/2022,02/06/2022,1559,02/06/2022,1559,D2,08,2101,"Phillips, D.  (1521)",E Chaparral Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655232,22-02853  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/05/2022,2130,02/06/2022,1540,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,ACTI,Further Investigation
655233,22-02854  ,13-1805I,Shoplifting With Device to Facilitate,Completed,02/06/2022,02/06/2022,1624,02/06/2022,1624,D4,16,3605,"Lackowski, A.  (1537)",N Northsight Bl,Scottsdale,AZ,LFP,Long Form Pending
655234,22-02855  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,02/06/2022,02/06/2022,1545,02/06/2022,1600,D3,13,2908,"Sodeman, L.  (B1150)",N 90th St,Scottsdale,AZ,INAC,Inactive
655235,22-02856  ,13-3102A2,Carry Deadly Wpn < 21 Yoa,Completed,02/06/2022,02/06/2022,1652,02/06/2022,1652,D1,03,607,"Currington, J.  (1542)",N Scottsdale Rd / E Thomas Rd,Scottsdale,AZ,LFF,Long Form Filed
655236,22-02857  ,13-1805A3,Shoplifting-Pay Less Than Purchase Price,Completed,02/06/2022,02/06/2022,1734,02/06/2022,1734,D1,01,301,"Smith, M.  (1596)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655237,22-02858  ,13-2916A,Intimidate/Threaten/Harass With Phone,Completed,02/06/2022,02/06/2022,1707,02/06/2022,1707,D3,11,2902,"Kang, J.  (1567)",E Gold Dust Av,Scottsdale,AZ,INAC,Inactive
655238,22-02859  ,28-662A2,Accidents - Fail to Remain-Damage Attended Veh,Completed,02/06/2022,02/06/2022,1749,02/06/2022,1749,D4,19,3801,"Kiter, S.  (B1410)",E Mayo Bl / N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
655239,22-02860  ,DEATH,Death Investigation,Completed,02/06/2022,02/06/2022,1700,02/06/2022,1747,D1,02,712,"Bolles, E.  (1210)",E Osborn Rd,Scottsdale,AZ,INAC,Inactive
655240,22-02861  ,13-1802A1,Theft -- Vehicle Parts/Accessories,Completed,02/06/2022,02/03/2022,1740,02/04/2022,0900,D4,18,3408,"Sodeman, L.  (B1150)",E Bell Rd,Scottsdale,AZ,INAC,Inactive
